% Model:              zahra.mph
% Version:            COMSOL 5.3.1.275
% Date:               May 12 2020, 02:02
% Dimension:          3
% Nodes:              5948
% Expressions:        4
% Description:        Temperature, Mach number, Pressure, Density
% Length unit:        mm
% x                       y                        z                        T (K)                    hmnf.Ma (1)              p (Pa)                   hmnf.rho (kg/m^3)
-17.009827104312382       -50.8                    -4.479144945646092       271.9543619891537        1.4717179214313099       89946.1298457609         1.1524034657729256
-18.23704080802887        -47.66268039599279       -7.017087816103502       270.9752893293392        1.5046052819647737       89081.80546139534        1.145453398484378
-25.4                     -50.8                    -5.080000000000003       272.1189221632602        1.554968816596434        92089.91634743894        1.1791564736337055
-21.818520404014436       -47.03163567238391       -7.318543908051748       270.9671456960126        1.54578339055833         89671.08354960225        1.1530652508511696
-22.07889523806072        -45.23058059982196       -4.789617457394142       270.56144735200166       1.54141049003395         88775.34698442483        1.1432588401769777
-22.09778508431492        -39.801747146078014      -15.320858767602257      272.3985934212079        1.5846244381916816       93811.78382273577        1.1999706856160228
-12.813716787934492       -50.8                    -2.129598476165624       272.88470564568877       1.4159364996002508       90298.06334663728        1.152968238640859
-14.039234082955302       -48.196377056114855      -4.275363066313941       271.5218707663359        1.4413425643630335       89088.75210499816        1.1432367106361914
-16.987652187898536       -50.8                    0.2505051217303162       272.2107548857693        1.4505693738171546       89603.5692212973         1.146933222360648
-19.402215458792632       -37.64203216739963       -22.389494776340634      273.2541406367288        1.5805721447260916       96488.30498022283        1.2303425075890353
-21.071974106106207       -34.41041314920446       -22.191926549258163      274.32556528606426       1.571492843616969        98073.34980832778        1.2456694968361748
-21.115143767178733       -32.83089182623114       -25.400000000000002      276.7121977755971        1.5635838183389197       102266.11977429233       1.2877204052761029
-21.626506981471543       -36.44996682459116       -18.234641440538148      273.63318997301127       1.5757927661972129       96126.022223944          1.2240250365015575
-25.399999999999995       -32.9572445717246        -20.984348149665085      276.8179473649069        1.5643372688817605       101795.36890173514       1.2813031087690598
-25.399999999999995       -30.47999999999999       -25.399999999999995      278.775729984615         1.551342079299169        105517.1709392128        1.3188222945093235
-21.000590948775052       -50.8                    -2.540000000000006       271.2920479741338        1.5063855919880444       89306.6829177778         1.1470041733086036
-18.27713234360599        -48.094697493153774      -1.9009012599283275      270.7991569625395        1.4768975311193275       88342.43599030377        1.136685096336745
-20.13956554649454        -47.66268039599279       -3.4897532276260543      270.74171309247623       1.5090985986190797       88534.71100704424        1.1394007598231717
-21.000590948775052       -50.8                    2.5399999999999974       271.0356517573929        1.486083893178748        89125.39149789793        1.145758618015885
-22.472218791449805       -48.094697493153774      0.33867121289471763      271.1776188345174        1.504843268676672        89786.2817577903         1.153650469584966
-25.4                     -50.8                    -1.6653345369377348E-15  271.76758616783167       1.5333359992447801       91750.99388473463        1.176335554474153
-22.33927007210701        -43.445330173100295      -7.178012114148015       270.57289998549527       1.555485648971941        89411.09496356727        1.1513973360453464
-25.4                     -46.40059094877505       -2.540000000000006       271.7202069291187        1.5446807171403312       91715.48627205937        1.1760853484901441
-25.4                     -42.245660066057475      -5.053219390685313       271.30377508649474       1.5639821406973138       91626.23613528545        1.1767443267973106
-25.4                     -50.8                    5.079999999999996        271.3012482435554        1.5141702420174374       91433.20217123118        1.1742761525242844
-25.399999999999995       -35.115563277816214      -17.09029332839503       275.70461559383324       1.5704935077290065       99481.403027718          1.2572335682918003
-22.74291338419144        -36.203675814748365      -13.704442739723177      274.0163438324779        1.5736242998365777       95649.8821259861         1.2162590229177808
-25.399999999999995       -37.75820606619149       -12.609531920094998      274.3644276233389        1.578200622401861        96733.98986654406        1.228483708401425
